num_tbls,size_tbls,memory,accuracy
20,110,8800,0.748373
20,160,12800,0.773543
20,210,16800,0.778781
20,260,20800,0.804196
20,310,24800,0.825359
20,360,28800,0.843521
20,410,32800,0.847666
20,460,36800,0.849754
20,510,40800,0.873418
20,560,44800,0.866834
20,610,48800,0.886889
20,660,52800,0.882353
20,710,56800,0.898438
20,760,60800,0.898438
20,810,64800,0.907895
20,860,68800,0.907895
20,910,72800,0.920000
20,960,76800,0.917553
